command,family,firmware_file,line,description,wrapper,parser,tests
:GA#,Mount,firmware/OnStepX/src/telescope/mount/Mount.command.cpp,23,Get mount altitude (returns DMS string),False,False,False
:GAH#,Mount,firmware/OnStepX/src/telescope/mount/Mount.command.cpp,23,Get mount altitude (high precision),False,False,False
:GD#,Mount,firmware/OnStepX/src/telescope/mount/Mount.command.cpp,40,Get mount declination (returns DMS),True,True,True
:GDH#,Mount,firmware/OnStepX/src/telescope/mount/Mount.command.cpp,40,Get mount declination (high precision),False,False,False
:GR#,Mount,firmware/OnStepX/src/telescope/mount/Mount.command.cpp,56,Get mount right ascension (returns HMS),True,True,True
:GRH#,Mount,firmware/OnStepX/src/telescope/mount/Mount.command.cpp,56,Get mount right ascension (high precision),False,False,False
:GT#,Mount,firmware/OnStepX/src/telescope/mount/Mount.command.cpp,72,Get tracking rate (numeric reply),True,True,True
:GX4[n]#,Mount,firmware/OnStepX/src/telescope/mount/Mount.command.cpp,82,Extended :GX4 — get instrument/encoder angles or counts depending on index,False,False,False
:GXE[m]#,Mount,firmware/OnStepX/src/telescope/mount/Mount.command.cpp,99,Extended :GXE — query mount settings/values (various subcodes),False,False,False
:GXFn#,Mount,firmware/OnStepX/src/telescope/mount/Mount.command.cpp,114,Extended :GXF — get frequency/workload and related values,False,False,False
:GXTD#,Mount,firmware/OnStepX/src/telescope/mount/Mount.command.cpp,134,Get tracking rate offset in Dec (numeric),False,False,False
:GXTR#,Mount,firmware/OnStepX/src/telescope/mount/Mount.command.cpp,141,Get tracking rate offset in RA (numeric),False,False,False
:GZ#,Mount,firmware/OnStepX/src/telescope/mount/Mount.command.cpp,150,Get mount azimuth (returns DMS),False,False,False
:ST[H.H]#,Mount,firmware/OnStepX/src/telescope/mount/Mount.command.cpp,169,Set tracking rate (:ST — set tracking in Hz),True,False,False
:SEO#,Mount,firmware/OnStepX/src/telescope/mount/Mount.command.cpp,186,Set coordinate origin for absolute encoders or mount memory,False,False,False
":SX4[m],[n]#",Mount,firmware/OnStepX/src/telescope/mount/Mount.command.cpp,249,Set encoder axis [m] to value [n] (encoder sync operations),False,False,False
":SXEM,[n]#",Mount,firmware/OnStepX/src/telescope/mount/Mount.command.cpp,336,Set mount type (saved to NV for next restart),False,False,False
":SXTD,n.n#",Mount,firmware/OnStepX/src/telescope/mount/Mount.command.cpp,350,Set tracking rate offset Dec (numeric input),False,False,False
":SXTR,n.n#",Mount,firmware/OnStepX/src/telescope/mount/Mount.command.cpp,360,Set tracking rate offset RA (numeric input),False,False,False
:TS#,Mount,firmware/OnStepX/src/telescope/mount/Mount.command.cpp,374,Tracking rate: solar (alias),True,False,True
:TK#,Mount,firmware/OnStepX/src/telescope/mount/Mount.command.cpp,375,Tracking rate: king (alias),False,False,False
:TL#,Mount,firmware/OnStepX/src/telescope/mount/Mount.command.cpp,376,Tracking rate: lunar (alias),True,False,True
:TQ#,Mount,firmware/OnStepX/src/telescope/mount/Mount.command.cpp,377,Tracking rate: sidereal (alias),True,False,True
:T+#,Mount,firmware/OnStepX/src/telescope/mount/Mount.command.cpp,400,Adjust master sidereal clock faster (EEPROM stored),False,False,False
:T-#,Mount,firmware/OnStepX/src/telescope/mount/Mount.command.cpp,400,Adjust master sidereal clock slower (EEPROM stored),False,False,False
:TR#,Mount,firmware/OnStepX/src/telescope/mount/Mount.command.cpp,400,Reset master sidereal clock to calculated rate,False,False,False
:Te#,Mount,firmware/OnStepX/src/telescope/mount/Mount.command.cpp,400,Tracking enable command,True,False,True
:Td#,Mount,firmware/OnStepX/src/telescope/mount/Mount.command.cpp,400,Tracking disable command,True,False,True
:To#,Mount,firmware/OnStepX/src/telescope/mount/Mount.command.cpp,400,Track full compensation on,False,False,False
:Tr#,Mount,firmware/OnStepX/src/telescope/mount/Mount.command.cpp,400,Track refraction compensation on,False,False,False
:Tn#,Mount,firmware/OnStepX/src/telescope/mount/Mount.command.cpp,400,Track compensation off,False,False,False
:T1#,Mount,firmware/OnStepX/src/telescope/mount/Mount.command.cpp,400,Track dual axis off (disable Dec tracking on Eq mounts),False,False,False
:T2#,Mount,firmware/OnStepX/src/telescope/mount/Mount.command.cpp,400,Track dual axis on,False,False,False
:$BD[n]#,Mount,firmware/OnStepX/src/telescope/mount/Mount.command.cpp,439,Set Dec/Alt backlash in arc-seconds,False,False,False
:$BR[n]#,Mount,firmware/OnStepX/src/telescope/mount/Mount.command.cpp,442,Set RA/Azm backlash in arc-seconds,False,False,False
%BD#,Mount,firmware/OnStepX/src/telescope/mount/Mount.command.cpp,465,Get Dec/Alt antibacklash value in arc-seconds,False,False,False
%BR#,Mount,firmware/OnStepX/src/telescope/mount/Mount.command.cpp,467,Get RA/Azm antibacklash value in arc-seconds,False,False,False
:SO#,Mount,firmware/OnStepX/src/telescope/mount/Mount.command.cpp,199,Transmit ':SO#' to SERIAL_ENCODER when setting absolute encoder origin,False,False,False
:B+#,Auxiliary,firmware/OnStepX/src/telescope/Telescope.command.cpp,97,Increase reticle/LED brightness (handled by telescope),False,False,False
:B-#,Auxiliary,firmware/OnStepX/src/telescope/Telescope.command.cpp,99,Decrease reticle/LED brightness (handled by telescope),False,False,False
:EC[s]#,Auxiliary,firmware/OnStepX/src/telescope/Telescope.command.cpp,125,Echo provided string as debug message,False,False,False
:ERESET#,Auxiliary,firmware/OnStepX/src/telescope/Telescope.command.cpp,138,Reset the MCU (HAL_RESET),False,False,False
:ENVRESET#,Auxiliary,firmware/OnStepX/src/telescope/Telescope.command.cpp,155,Wipe NV memory (invalidate next boot),False,False,False
:ESPFLASH#,Auxiliary,firmware/OnStepX/src/telescope/Telescope.command.cpp,162,Enter ESP flash mode (ESP flashing sequence),False,False,False
:GX9A#,Auxiliary,firmware/OnStepX/src/telescope/Telescope.command.cpp,214,Get external temperature (deg C) via weather subsystem,False,False,False
:GX9B#,Auxiliary,firmware/OnStepX/src/telescope/Telescope.command.cpp,221,Get pressure (mb) via weather subsystem,False,False,False
:GX9C#,Auxiliary,firmware/OnStepX/src/telescope/Telescope.command.cpp,228,Get relative humidity (%) via weather subsystem,False,False,False
:GX9E#,Auxiliary,firmware/OnStepX/src/telescope/Telescope.command.cpp,235,Get dew point (deg C) via weather subsystem,False,False,False
:GX9F#,Auxiliary,firmware/OnStepX/src/telescope/Telescope.command.cpp,242,Get MCU temperature (deg C) if available,False,False,False
":SX9A,[sn.n]#",Auxiliary,firmware/OnStepX/src/telescope/Telescope.command.cpp,263,Set temperature (deg C) via weather interface,False,False,False
":SX9B,[n.n]#",Auxiliary,firmware/OnStepX/src/telescope/Telescope.command.cpp,269,Set pressure (mb) via weather interface,False,False,False
":SX9C,[n.n]#",Auxiliary,firmware/OnStepX/src/telescope/Telescope.command.cpp,275,Set relative humidity (%) via weather interface,False,False,False
:B+#,ST4,firmware/OnStepX/src/telescope/mount/st4/St4.cpp,138,Transmit ':B+#' to local serial from ST4 hand-control (increase BRIGHT/RATE action),False,False,False
:B-#,ST4,firmware/OnStepX/src/telescope/mount/st4/St4.cpp,150,Transmit ':B-#' to local serial from ST4 hand-control (decrease BRIGHT/RATE action),False,False,False
:CS#,ST4,firmware/OnStepX/src/telescope/mount/st4/St4.cpp,168,Transmit ':CS#' (sync/accept align) from ST4 controls,False,False,False
:F12#,Focuser,firmware/OnStepX/src/telescope/mount/st4/St4.cpp,178,Focuser 1 slow move command (transmitted via SERIAL_LOCAL),False,False,False
